IAUT / UAT Crosswalk by Kelsey Gibson (https://orcid.org/0000-0002-7960-2949),,,,,,,,,,,,,,,,
Subject Source: International Astronomical Union Thesaurus,Version 1995,http://www.mso.anu.edu.au/library/thesaurus/,,,,,,,,,,,,,,
Predicate Source: SKOS Simple Knowledge Organization System Reference,Version 20090818,https://www.w3.org/TR/2009/REC-skos-reference-20090818/#mapping,,,,,,,,,,,,,,
Object Source: Unified Astronomy Thesaurus,Version 3.0.0,https://github.com/astrothesaurus/UAT/releases/tag/v.3.0.0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
IAUT URL,IAUT Term,SKOS Mapping Property,UAT Concept,UAT URI,,,,,,,,,,,,
http://www.mso.anu.edu.au/library/thesaurus/english/21CMLINE.html,21 CM LINE,exactMatch,H I line emission,http://astrothesaurus.org/uat/690,,,,,,,,,,,,
http://www.mso.anu.edu.au/library/thesaurus/english/53PERSEISTARS.html,53 PERSEI STARS,exactMatch,53 Persei stars,http://astrothesaurus.org/uat/2,,,,,,,,,,,,
http://www.mso.anu.edu.au/library/thesaurus/english/ADWARFSTARS.html,A DWARF STARS,exactMatch,A dwarf stars,http://astrothesaurus.org/uat/3,,,,,,,,,,,,
http://www.mso.anu.edu.au/library/thesaurus/english/AGIANTSTARS.html,A GIANT STARS,exactMatch,A giant stars,http://astrothesaurus.org/uat/4,,,,,,,,,,,,
http://www.mso.anu.edu.au/library/thesaurus/english/ASTARS.html,A STARS,exactMatch,A stars,http://astrothesaurus.org/uat/5,,,,,,,,,,,,
http://www.mso.anu.edu.au/library/thesaurus/english/ASUBDWARFSTARS.html,A SUBDWARF STARS,exactMatch,A subdwarf stars,http://astrothesaurus.org/uat/6,,,,,,,,,,,,
http://www.mso.anu.edu.au/library/thesaurus/english/ASUBGIANTSTARS.html,A SUBGIANT STARS,exactMatch,A subgiant stars,http://astrothesaurus.org/uat/7,,,,,,,,,,,,
http://www.mso.anu.edu.au/library/thesaurus/english/ASUPERGIANTSTARS.html,A SUPERGIANT STARS,exactMatch,A supergiant stars,http://astrothesaurus.org/uat/8,,,,,,,,,,,,
http://www.mso.anu.edu.au/library/thesaurus/english/ABELLCLUSTERS.html,ABELL CLUSTERS,exactMatch,Abell clusters,http://astrothesaurus.org/uat/9,,,,,,,,,,,,
http://www.mso.anu.edu.au/library/thesaurus/english/ABERRATION.html,ABERRATION,(no match),,,,,,,,,,,,,,
http://www.mso.anu.edu.au/library/thesaurus/english/ABERRATIONS.html,ABERRATIONS,(no match),,,,,,,,,,,,,,
