Icarus Keywords / UAT Crosswalk by Katie Frey (https://orcid.org/0000-0001-9891-4465),,,,
Subject Source: Icarus Keywords,,Version May 2013,https://www.elsevier.com/__data/promis_misc/yicar_key_words_may2013.pdf,
Predicate Source: SKOS Simple Knowledge Organization System Reference,,Version 20090818,https://www.w3.org/TR/2009/REC-skos-reference-20090818/#mapping,
Object Source: Unified Astronomy Thesaurus,,Version 4.0.1,https://github.com/astrothesaurus/UAT/releases/tag/v.4.0.1,
,,,,
Icarus Key Word,SKOS Mapping Property,UAT Concept,UAT URI,
"Abundances, atmospheres",narrowMatch,Chemical abundances,http://astrothesaurus.org/uat/224,
"Abundances, atmospheres",narrowMatch,Planetary atmospheres,http://astrothesaurus.org/uat/1244,
"Abundances, interiors",narrowMatch,Chemical abundances,http://astrothesaurus.org/uat/224,
"Abundances, interiors",narrowMatch,Planetary interior,http://astrothesaurus.org/uat/1248,
Accretion,exactMatch,Accretion,http://astrothesaurus.org/uat/14,
Adaptive optics,(no match),,,
Aeolian processes,(no match),,,
Aeronomy,exactMatch,Aeronomy,http://astrothesaurus.org/uat/22,
Asteroid AnneFrank,broadMatch,Asteroids,http://astrothesaurus.org/uat/72,
Asteroid Braille,broadMatch,Asteroids,http://astrothesaurus.org/uat/72,
Asteroid Ceres,exactMatch,Ceres,http://astrothesaurus.org/uat/219,
Asteroid Dactyl,broadMatch,Asteroids,http://astrothesaurus.org/uat/72,
Asteroid Eros,exactMatch,Eros,http://astrothesaurus.org/uat/2182,
Asteroid Gaspra,broadMatch,Asteroids,http://astrothesaurus.org/uat/72,
Asteroid Ida,broadMatch,Asteroids,http://astrothesaurus.org/uat/72,
Asteroid Itokawa,broadMatch,Asteroids,http://astrothesaurus.org/uat/72,
Asteroid Masursky,broadMatch,Asteroids,http://astrothesaurus.org/uat/72,
Asteroid Mathilde,broadMatch,Asteroids,http://astrothesaurus.org/uat/72,
Asteroid Vesta,exactMatch,Vesta,http://astrothesaurus.org/uat/2183,
Asteroids,exactMatch,Asteroids,http://astrothesaurus.org/uat/72,
"Asteroids, composition",narrowMatch,Asteroids,http://astrothesaurus.org/uat/72,
"Asteroids, composition",narrowMatch,Chemical abundances,http://astrothesaurus.org/uat/224,
"Asteroids, dynamics",exactMatch,Asteroid dynamics,http://astrothesaurus.org/uat/2210,
"Asteroids, rotation",exactMatch,Asteroid rotation,http://astrothesaurus.org/uat/2211,
"Asteroids, surfaces",exactMatch,Asteroid surfaces,http://astrothesaurus.org/uat/2209,
Astrobiology,exactMatch,Astrobiology,http://astrothesaurus.org/uat/74,
Astrometry,exactMatch,Astrometry,http://astrothesaurus.org/uat/80,
"Atmospheres, chemistry",exactMatch,Atmospheric composition,http://astrothesaurus.org/uat/2120,
"Atmospheres, composition",exactMatch,Atmospheric composition,http://astrothesaurus.org/uat/2120,
"Atmospheres, dynamics",(no match),,,
"Atmospheres, evolution",(no match),,,
"Atmospheres, structure",(no match),,,
Aurorae,exactMatch,Aurorae,http://astrothesaurus.org/uat/2192,
Callisto,broadMatch,Galilean satellites,http://astrothesaurus.org/uat/627,
Celestial mechanics,exactMatch,Celestial mechanics,http://astrothesaurus.org/uat/211,
Centaurs,exactMatch,Centaur group,http://astrothesaurus.org/uat/215,
Charon,broadMatch,Plutonian satellites,http://astrothesaurus.org/uat/2202,
Collisional physics,(no match),,,
Comet Borrelly,broadMatch,Comets,http://astrothesaurus.org/uat/280,
Comet Giacobini-Zinner,broadMatch,Comets,http://astrothesaurus.org/uat/280,
Comet Grigg-Skjellerup,broadMatch,Comets,http://astrothesaurus.org/uat/280,
Comet Hale-Bopp,broadMatch,Comets,http://astrothesaurus.org/uat/280,
Comet Halley,exactMatch,Comet Halley,http://astrothesaurus.org/uat/2181,
Comet Tempel-1,broadMatch,Comets,http://astrothesaurus.org/uat/280,
Comet Wild-2,broadMatch,Comets,http://astrothesaurus.org/uat/280,
Comets,exactMatch,Comets,http://astrothesaurus.org/uat/280,
"Comets, coma",exactMatch,Comae,http://astrothesaurus.org/uat/271,
"Comets, composition",narrowMatch,Chemical abundances,http://astrothesaurus.org/uat/224,
"Comets, composition",narrowMatch,Comets,http://astrothesaurus.org/uat/280,
"Comets, dust",closeMatch,Coma dust,http://astrothesaurus.org/uat/2159,
"Comets, dynamics",exactMatch,Comet dynamics,http://astrothesaurus.org/uat/2213,
"Comets, nucleus",exactMatch,Comet nuclei,http://astrothesaurus.org/uat/2160,
"Comets, origin",exactMatch,Comet origins,http://astrothesaurus.org/uat/2203,
"Comets, plasma",closeMatch,Ionized coma gases,http://astrothesaurus.org/uat/277,
Cosmic rays,exactMatch,Cosmic rays,http://astrothesaurus.org/uat/329,
Cosmochemistry,exactMatch,Cosmochemistry,http://astrothesaurus.org/uat/331,
Cratering,(no match),,,
Data reduction techniques,exactMatch,Astronomy data reduction,http://astrothesaurus.org/uat/1861,
Debris disks,exactMatch,Debris disks,http://astrothesaurus.org/uat/363,
Disks,narrowMatch,Circumstellar disk,http://astrothesaurus.org/uat/235,
Disks,narrowMatch,Debris disks,http://astrothesaurus.org/uat/363,
Disks,narrowMatch,Galaxy accretion disks,http://astrothesaurus.org/uat/562,
Disks,narrowMatch,Galaxy disk,http://astrothesaurus.org/uat/589,
Disks,narrowMatch,Milky way disk,http://astrothesaurus.org/uat/1050,
Disks,narrowMatch,Protoplanetary disks,http://astrothesaurus.org/uat/1300,
Disks,narrowMatch,Relativistic disks,http://astrothesaurus.org/uat/1388,
Disks,narrowMatch,Stellar accretion disks,http://astrothesaurus.org/uat/1579,
Disks,narrowMatch,Galaxy stellar disks,http://astrothesaurus.org/uat/1594,
Earth,exactMatch,Earth (planet),http://astrothesaurus.org/uat/439,
Eclipses,exactMatch,Eclipses,http://astrothesaurus.org/uat/442,
Enceladus,broadMatch,Saturnian satellites,http://astrothesaurus.org/uat/1427,
Europa,broadMatch,Galilean satellites,http://astrothesaurus.org/uat/627,
Exobiology,exactMatch,Astrobiology,http://astrothesaurus.org/uat/74,
Experimental techniques,exactMatch,Experimental techniques,http://astrothesaurus.org/uat/2078,
Extra-solar planets,exactMatch,Exoplanets,http://astrothesaurus.org/uat/498,
Gamma ray spectroscopy,(no match),,,
Ganymede,broadMatch,Galilean satellites,http://astrothesaurus.org/uat/627,
Geological processes,(no match),,,
Geophysics,(no match),,,
Hubble Space Telescope observations,narrowMatch,Hubble Space Telescope,http://astrothesaurus.org/uat/761,
Iapetus,broadMatch,Saturnian satellites,http://astrothesaurus.org/uat/1427,
Ices,exactMatch,Surface ices,http://astrothesaurus.org/uat/2117,
"Ices, IR spectroscopy",(no match),,,
"Ices, mechanical properties",(no match),,,
"Ices, UV spectroscopy",(no match),,,
Image processing,(no match),,,
Impact processes,(no match),,,
"In Memoriam, obituary",(no match),,,
Infrared observations,relatedMatch,Infrared sources,http://astrothesaurus.org/uat/786,
