ASK / UAT Crosswalk by Katie Frey (https://orcid.org/0000-0001-9891-4465),,,,
Subject Source: Astronomy Subject Keywords,,Version 2013,https://journals.aas.org/authors/keywords2013.html,
Predicate Source: SKOS Simple Knowledge Organization System Reference,,Version 20090818,https://www.w3.org/TR/2009/REC-skos-reference-20090818/#mapping,
Object Source: Unified Astronomy Thesaurus,,Version 4.0.1,https://github.com/astrothesaurus/UAT/releases/tag/v.4.0.1,
,,,,
ASK Heading,ASK Term,SKOS Mapping Property,UAT Concept,UAT URI
Astro Databases,astronomical databases: miscellaneous,exactMatch,Astronomy databases,http://astrothesaurus.org/uat/83
Astro Databases,atlases,narrowMatch,Star atlases,http://astrothesaurus.org/uat/1566
Astro Databases,catalogs,exactMatch,Catalogs,http://astrothesaurus.org/uat/205
Astro Databases,surveys,exactMatch,Surveys,http://astrothesaurus.org/uat/1671
Astro Databases,virtual observatory tools,relatedMatch,Virtual observatories,http://astrothesaurus.org/uat/1774
Celestial Mech,astrometry,exactMatch,Astrometry,http://astrothesaurus.org/uat/80
Celestial Mech,celestial mechanics,exactMatch,Celestial mechanics,http://astrothesaurus.org/uat/211
Celestial Mech,eclipses,exactMatch,Eclipses,http://astrothesaurus.org/uat/442
Celestial Mech,ephemerides,exactMatch,Ephemerides,http://astrothesaurus.org/uat/464
Celestial Mech,occultations,exactMatch,Occultation,http://astrothesaurus.org/uat/1148
Celestial Mech,parallaxes,exactMatch,Parallax,http://astrothesaurus.org/uat/1197
Celestial Mech,proper motions,exactMatch,Proper motions,http://astrothesaurus.org/uat/1295
Celestial Mech,time,relatedMatch,Relaxation time,http://astrothesaurus.org/uat/1394
Celestial Mech,time,relatedMatch,E-folding time,http://astrothesaurus.org/uat/425
Celestial Mech,time,relatedMatch,Hubble time,http://astrothesaurus.org/uat/762
Cosmology,(cosmology:) cosmic background radiation,exactMatch,Cosmic background radiation,http://astrothesaurus.org/uat/317
Cosmology,(cosmology:) cosmic background radiation,relatedMatch,Cosmic microwave background radiation,http://astrothesaurus.org/uat/322
Cosmology,(cosmology:) cosmological parameters,exactMatch,Cosmological parameters,http://astrothesaurus.org/uat/339
Cosmology,"(cosmology:) dark ages, reionization, first stars",relatedMatch,Population III stars,http://astrothesaurus.org/uat/1285
Cosmology,"(cosmology:) dark ages, reionization, first stars",relatedMatch,Reionization,http://astrothesaurus.org/uat/1383
Cosmology,(cosmology:) dark energy,exactMatch,Dark energy,http://astrothesaurus.org/uat/351
Cosmology,(cosmology:) dark matter,narrowMatch,Warm dark matter,http://astrothesaurus.org/uat/1787
