level 1,level 2,level 3,level 4,level 5,level 6,level 7,level 8,level 9,level 10,level 11,level 12
Astronomical objects,Accretion disks,Galactic accretion disks,,,,,,,,,
Astronomical objects,Accretion disks,Relativistic disks,,,,,,,,,
Astronomical objects,Accretion disks,Stellar accretion disks,,,,,,,,,
Astronomical objects,Accretion disks,,,,,,,,,,
Astronomical objects,Asteroids,Hirayama families,,,,,,,,,
Astronomical objects,Asteroids,Near-Earth objects,Amor group,,,,,,,,
Astronomical objects,Asteroids,Near-Earth objects,Apohele group,,,,,,,,
Astronomical objects,Asteroids,Near-Earth objects,Apollo group,,,,,,,,
Astronomical objects,Asteroids,Near-Earth objects,Aten group,,,,,,,,
Astronomical objects,Asteroids,Near-Earth objects,Earth trojans,,,,,,,,
Astronomical objects,Asteroids,Near-Earth objects,,,,,,,,,
Astronomical objects,Asteroids,Trojan asteroids,Earth trojans,,,,,,,,
Astronomical objects,Asteroids,Trojan asteroids,Jupiter trojans,,,,,,,,
Astronomical objects,Asteroids,Trojan asteroids,Mars trojans,,,,,,,,
Astronomical objects,Asteroids,Trojan asteroids,Neptune trojans,,,,,,,,
Astronomical objects,Asteroids,Trojan asteroids,,,,,,,,,
Astronomical objects,Asteroids,,,,,,,,,,
Astronomical objects,Binary systems,Binary stars,Accreting binaries,,,,,,,,
Astronomical objects,Binary systems,Binary stars,Algol variable stars,,,,,,,,
Astronomical objects,Binary systems,Binary stars,Astrometric binary stars,,,,,,,,
Astronomical objects,Binary systems,Binary stars,Bursters,,,,,,,,
Astronomical objects,Binary systems,Binary stars,Close binary stars,Ellipsoidal variable stars,Beta Lyrae stars,,,,,,
Astronomical objects,Binary systems,Binary stars,Close binary stars,Ellipsoidal variable stars,,,,,,,
Astronomical objects,Binary systems,Binary stars,Close binary stars,Semi-detached binary stars,,,,,,,
Astronomical objects,Binary systems,Binary stars,Close binary stars,Z Andromedae stars,,,,,,,
Astronomical objects,Binary systems,Binary stars,Close binary stars,,,,,,,,
Astronomical objects,Binary systems,Binary stars,Companion stars,Substellar companions,,,,,,,
Astronomical objects,Binary systems,Binary stars,Companion stars,Tertiary stars,,,,,,,
Astronomical objects,Binary systems,Binary stars,Companion stars,,,,,,,,
Astronomical objects,Binary systems,Binary stars,Contact binary stars,,,,,,,,
Astronomical objects,Binary systems,Binary stars,Detached binary stars,W Ursae Majoris variable stars,,,,,,,
Astronomical objects,Binary systems,Binary stars,Detached binary stars,,,,,,,,
Astronomical objects,Binary systems,Binary stars,Eclipsing binary stars,Algol variable stars,,,,,,,
Astronomical objects,Binary systems,Binary stars,Eclipsing binary stars,Beta Lyrae stars,,,,,,,
Astronomical objects,Binary systems,Binary stars,Eclipsing binary stars,DQ Herculis stars,,,,,,,
Astronomical objects,Binary systems,Binary stars,Eclipsing binary stars,R Canis Majoris stars,,,,,,,
Astronomical objects,Binary systems,Binary stars,Eclipsing binary stars,Upsilon Sagittarii stars,,,,,,,
Astronomical objects,Binary systems,Binary stars,Eclipsing binary stars,W Ursae Majoris variable stars,,,,,,,
Astronomical objects,Binary systems,Binary stars,Eclipsing binary stars,,,,,,,,
Astronomical objects,Binary systems,Binary stars,Eruptive binary stars,Alpha2 Canum Venaticorum stars,,,,,,,
Astronomical objects,Binary systems,Binary stars,Eruptive binary stars,Dwarf novae,SU Ursae Majoris stars,,,,,,
Astronomical objects,Binary systems,Binary stars,Eruptive binary stars,Dwarf novae,SX Arietis variables,,,,,,
Astronomical objects,Binary systems,Binary stars,Eruptive binary stars,Dwarf novae,U Geminorum stars,,,,,,
