preferred term,UAT v.2.0.0 URI,UAT v.1.1.0 URI,UAT v.1.1.0 URI
53 Persei stars,http://astrothesaurus.org/uat/2,http://astrothesaurus.org/uat/53PerseiStars,
A dwarf stars,http://astrothesaurus.org/uat/3,http://astrothesaurus.org/uat/ADwarfs,
A giant stars,http://astrothesaurus.org/uat/4,http://astrothesaurus.org/uat/AGiants,
A stars,http://astrothesaurus.org/uat/5,http://astrothesaurus.org/uat/AStars,
A subdwarf stars,http://astrothesaurus.org/uat/6,http://astrothesaurus.org/uat/ASubdwarfs,
A subgiant stars,http://astrothesaurus.org/uat/7,http://astrothesaurus.org/uat/ASubgiants,
A supergiant stars,http://astrothesaurus.org/uat/8,http://astrothesaurus.org/uat/ASupergiants,
Abell clusters,http://astrothesaurus.org/uat/9,http://astrothesaurus.org/uat/AbellClusters,
Absolute magnitude,http://astrothesaurus.org/uat/10,http://astrothesaurus.org/uat/AbsoluteMagnitude,
Abundance ratio,http://astrothesaurus.org/uat/11,http://astrothesaurus.org/uat/AbundanceRatio,
Accelerating universe,http://astrothesaurus.org/uat/12,http://astrothesaurus.org/uat/AcceleratingUniverse,
Accreting binary stars,http://astrothesaurus.org/uat/13,http://astrothesaurus.org/uat/AccretingBinaries,
Accretion,http://astrothesaurus.org/uat/14,http://astrothesaurus.org/uat/Accretion,
Achondrites,http://astrothesaurus.org/uat/15,http://astrothesaurus.org/uat/Achondrites,
Active galactic nuclei,http://astrothesaurus.org/uat/16,http://astrothesaurus.org/uat/ActiveGalacticNuclei,
Active galaxies,http://astrothesaurus.org/uat/17,http://astrothesaurus.org/uat/ActiveGalaxies,
Active sun,http://astrothesaurus.org/uat/18,http://astrothesaurus.org/uat/ActiveSun,
Adaptive interferometry,http://astrothesaurus.org/uat/19,http://astrothesaurus.org/uat/AdaptiveInterferometry,
Ae stars,http://astrothesaurus.org/uat/20,http://astrothesaurus.org/uat/AeStars,
Aerolites,http://astrothesaurus.org/uat/21,http://astrothesaurus.org/uat/Aerolites,
Aeronomy,http://astrothesaurus.org/uat/22,http://astrothesaurus.org/uat/Aeronomy,
Alfven waves,http://astrothesaurus.org/uat/23,http://astrothesaurus.org/uat/AlfvenWaves,
Algol variable stars,http://astrothesaurus.org/uat/24,http://astrothesaurus.org/uat/AlgolVariableStars,
All-sky cameras,http://astrothesaurus.org/uat/25,http://astrothesaurus.org/uat/All-SkyCameras,
Almanacs,http://astrothesaurus.org/uat/26,http://astrothesaurus.org/uat/Almanacs,
Alpha2 Canum Venaticorum stars,http://astrothesaurus.org/uat/27,http://astrothesaurus.org/uat/Alpha2CanumVenaticorumStars,
Alt-azimuth mounts,http://astrothesaurus.org/uat/28,http://astrothesaurus.org/uat/Alt-AzimuthMounts,
Alternatives to cosmic inflation,http://astrothesaurus.org/uat/29,http://astrothesaurus.org/uat/AlternativesToCosmicInflation,
Altitude angle,http://astrothesaurus.org/uat/30,http://astrothesaurus.org/uat/AltitudeAngle,
AM Canum Venaticorum stars,http://astrothesaurus.org/uat/31,http://astrothesaurus.org/uat/AmCanumVenaticorumStars,
AM Herculis stars,http://astrothesaurus.org/uat/32,http://astrothesaurus.org/uat/AmHerculisStars,
Am stars,http://astrothesaurus.org/uat/33,http://astrothesaurus.org/uat/AmStars,
Amateur astronomers,http://astrothesaurus.org/uat/34,http://astrothesaurus.org/uat/AmateurAstronomers,
Amateur astronomy,http://astrothesaurus.org/uat/35,http://astrothesaurus.org/uat/AmateurAstronomy,
Amor group,http://astrothesaurus.org/uat/36,http://astrothesaurus.org/uat/AmorGroup,
Analytical mathematics,http://astrothesaurus.org/uat/38,http://astrothesaurus.org/uat/AnalyticalMathematics,
Andromeda Galaxy,http://astrothesaurus.org/uat/39,http://astrothesaurus.org/uat/AndromedaGalaxy,
Angular separation,http://astrothesaurus.org/uat/40,http://astrothesaurus.org/uat/AngularSeparation,
Annual equation,http://astrothesaurus.org/uat/41,http://astrothesaurus.org/uat/AnnualEquation,
Annual parallax,http://astrothesaurus.org/uat/42,http://astrothesaurus.org/uat/AnnualParallax,
Annular eclipses,http://astrothesaurus.org/uat/43,http://astrothesaurus.org/uat/AnnularEclipses,
Anomalistic month,http://astrothesaurus.org/uat/44,http://astrothesaurus.org/uat/AnomalisticMonth,
Ansae,http://astrothesaurus.org/uat/45,http://astrothesaurus.org/uat/Ansae,
Antapex,http://astrothesaurus.org/uat/46,http://astrothesaurus.org/uat/Antapex,
